,volume,volumeNotional,close,tradesDone,open,date,low,high
0,10381.2137215145,139187063.69446903,13407.590617849572,52489.0,13792.20816155334,2018-01-01 00:00:00+00:00,13240.054654238176,13821.764356890988
1,7848.231482028599,106853202.89356387,13614.94027517453,44420.0,13411.811433142127,2018-01-01 04:00:00+00:00,13297.113477756888,13887.551032311032
2,8580.528796917899,113673166.05316822,13247.804272156198,43597.0,13612.244991558593,2018-01-01 08:00:00+00:00,13074.514242853797,13738.003154445874
3,12913.4055502088,170840368.3568693,13229.691245475286,59995.0,13256.165943930017,2018-01-01 12:00:00+00:00,12804.098674331519,13327.398579377948
4,8049.587415245398,106704660.8919504,13255.916780263628,40730.0,13226.79278460113,2018-01-01 16:00:00+00:00,12982.128532380006,13287.45583400859
5,10880.6379372128,145644334.50993627,13385.642951303344,55640.0,13258.962259408441,2018-01-01 20:00:00+00:00,13251.514363074832,13673.365433301447
6,16196.173990514397,215692914.8170331,13317.522702791279,71561.0,13387.531661103985,2018-01-02 00:00:00+00:00,13223.154814677477,13908.7254031097
7,12468.169373766697,166733623.20324728,13372.742878682615,56294.0,13322.992844710598,2018-01-02 04:00:00+00:00,12853.385407839845,13386.84905696972
8,8986.047067572299,121783978.35982116,13552.564041123227,50072.0,13377.40661840265,2018-01-02 08:00:00+00:00,13347.487932971473,13691.983688964729
9,13256.502253988296,181907632.5539469,13722.143976494172,74186.0,13555.567421506259,2018-01-02 12:00:00+00:00,13516.845077619033,13993.491393683733
10,36433.288687471795,539703812.1408684,14813.4805169662,138165.0,13720.841647020561,2018-01-02 16:00:00+00:00,13648.600619701016,15405.839320427302
11,19923.120686606497,293218480.04318523,14717.497557513872,87239.0,14830.610161287326,2018-01-02 20:00:00+00:00,14561.57535655587,15252.146283916398
12,14205.7992635624,211111819.7299784,14860.960359441102,68032.0,14718.34598275301,2018-01-03 00:00:00+00:00,14680.042180383984,15238.807593417368
